tconst,primaryTitle,Actual,Predicted
tt0270688,Teknolust,5.3,5.37800000000001
tt2124096,Yolki 2,6.2,5.530199999999992
tt26673530,The Action Pack,4.9,3.7220000000000057
tt3062170,Buddy,5.8,4.1853999999999925
tt7921248,The Whistlers,6.3,5.457600000000004
tt2714380,The Remaining,4.3,6.142199999999994
tt1667310,Deadfall,6.2,5.471399999999992
tt0290916,Summer Things,6.5,6.477799999999996
tt9019352,No Manches Frida 2,4.2,5.287399999999995
tt11773276,Krishna and His Leela,5.7,6.2297999999999805
tt0348656,Khushi,4.2,5.8668000000000005
tt4551318,Paradise,7.0,7.0009999999999915
tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes,6.7,6.801600000000015
tt2184227,Dormant Beauty,6.3,6.9729999999999706
tt12472554,Mahaan,7.6,7.181000000000001
tt9389998,Pushpa: The Rise - Part 1,7.6,7.860399999999975
tt5060166,Beyond the Woods,4.0,4.074
tt3450134,The Drownsman,4.1,4.028199999999998
tt5078886,Fanged Up,4.4,4.116999999999998
tt0885470,Adam and the Devil,6.6,6.496799999999961
tt1117385,Felon,7.4,6.3996000000000155
tt0254775,The Red Siren,5.2,5.137599999999993
tt11552344,Murder at Yellowstone City,5.3,5.28459999999999
tt2188733,Ee Adutha Kaalath,7.7,7.846999999999989
tt0421625,Istanbul Tales,7.3,7.242000000000017
tt15465194,Dr. 56,7.1,7.0593999999999815
tt0843270,Crazy Stone,7.6,6.401399999999996
tt1620933,Paan Singh Tomar,8.2,7.765799999999988
tt1285009,The Strangers: Prey at Night,5.2,4.940599999999996
tt11199410,The Princess Switch: Switched Again,5.4,5.703600000000003
tt3695244,WARx2,7.2,7.182199999999974
tt7311330,The Last Exorcist,2.8,3.8545999999999903
tt0483022,Kamome Diner,7.2,6.999399999999972
tt12573294,Love,7.0,6.676799999999992
tt10975992,Mistletoe & Menorahs,6.5,5.892000000000003
tt1660302,Our Children,6.8,6.314199999999987
tt9304360,Ayogya,6.1,6.5898
tt1727388,The Way Way Back,7.4,6.8568
tt4761112,The Mauritanian,7.5,7.306800000000004
tt2623502,"Getting Go, the Go Doc Project",6.9,6.638600000000012
tt1455237,Oy!,7.0,6.929400000000013
tt6599340,Bluebeard,6.4,5.75879999999998
tt6412864,On the Beach at Night Alone,6.8,6.835799999999993
tt10525672,Silver Skates,7.1,6.648200000000011
tt1596352,I Am Slave,6.7,6.197599999999991
tt0843335,Desamuduru,6.2,6.101199999999994
tt8829128,Torpedo,5.9,5.839400000000004
tt1821641,The Congress,6.4,5.868800000000002
tt5836706,Head Full of Honey,5.5,6.423599999999989
tt0428646,Hui Buh: Das Schlossgespenst,4.8,5.019000000000002
tt7658610,The Final Blade,5.5,5.191200000000005
tt11946138,Rebel,7.4,6.918599999999996
tt0952640,Alvin and the Chipmunks,5.2,5.7120000000000095
tt9343754,Eeb Allay Ooo!,7.2,6.664399999999987
tt0425123,Just Like Heaven,6.7,6.2702
tt12140804,Ghosts,5.9,6.105399999999998
tt2100684,Yangin Var,6.4,6.331000000000039
tt12996154,365 Days: This Day,2.7,3.399599999999983
tt0220099,The Tigger Movie,6.3,6.555799999999981
tt6612946,Changeland,5.7,6.530999999999973
tt0296042,Ichi the Killer,7.0,6.5750000000000055
tt7343740,Days of the Bagnold Summer,6.5,6.429600000000005
tt3876910,Dangerous,5.2,5.154600000000003
tt2312718,Homefront,6.5,6.717599999999984
tt4326444,Julieta,7.1,5.678800000000004
tt14909314,Burn All My Letters,6.2,6.603999999999997
tt5913798,Wounds,4.1,5.064599999999996
tt6463494,3 Days in Quiberon,6.8,6.583399999999995
tt11307814,Red Dot,5.5,5.179800000000009
tt1373156,Karthik Calling Karthik,7.1,7.398799999999991
tt1171222,Baggage Claim,5.1,5.626599999999983
tt15446834,Aseq,5.5,6.106199999999997
tt1700258,Kokowääh,6.3,6.081999999999991
tt3169706,Pride,7.8,7.370800000000007
tt0221559,On the Edge,6.9,7.132400000000005
tt0461770,Enchanted,7.1,6.490600000000002
tt3187378,The Asian Connection,3.2,5.114800000000006
tt0450336,Blood Creek,5.3,5.555599999999995
tt10530838,How to Please a Woman,6.2,6.178799999999972
tt3385524,Stan & Ollie,7.2,7.191599999999995
tt0300051,Jersey Girl,6.2,7.158000000000012
tt2281065,21 Ways to Ruin a Marriage,6.2,6.338799999999986
tt1214961,Happy Days,7.9,7.770799999999985
tt26047818,Anyone But You,6.1,6.263799999999999
tt0333074,Mango Yellow,6.6,6.997599999999995
tt7335186,Savyasachi,5.3,6.801399999999987
tt4273292,Under the Shadow,6.8,5.608799999999999
tt11409736,Unrest,6.6,6.249999999999965
tt4978274,Priceless,6.0,6.249399999999994
tt8226892,Peel,6.1,6.32520000000001
tt19369162,The Puppetman,5.3,5.118200000000007
tt3777462,Wir sind die Neuen,6.6,6.4276000000000195
tt3615160,Genocidal Organ,6.4,4.8706
tt8058904,Yao,6.4,6.413000000000006
tt6170484,Monster Hunt 2,5.4,5.903200000000006
tt3877718,Tokyo Fiancée,6.4,6.31880000000001
tt6593054,Drive,3.2,7.127999999999988
tt1001508,He's Just Not That Into You,6.4,6.623399999999992
tt2409302,Why Don't You Play in Hell?,7.1,6.745799999999997
tt1555747,Fubar: Balls to the Wall,6.5,6.314799999999986
tt6483364,Teen Spirit,6.1,6.741199999999978
tt2368635,Bird People,6.1,6.476400000000001
tt1054677,The Best Things in the World,7.2,6.486599999999998
tt5308322,Happy Death Day,6.6,6.1153999999999975
tt4079782,Absolute Rest,5.8,5.715399999999985
tt7668842,Enes Batur: Imagination or Reality?,2.0,2.4894000000000025
tt2861320,Policegiri,4.2,5.038399999999988
tt19820538,Next Sohee,7.2,6.855399999999988
tt4899370,Megan Leavey,7.1,6.656800000000005
tt3421124,Land of Smiles,3.4,5.540000000000013
tt10521814,K-12,6.5,6.251200000000013
tt0458522,El cantante,5.5,6.0057999999999865
tt2215457,Run,4.6,4.362400000000006
tt6022266,Infection,5.1,4.945399999999986
tt3721954,Maudie,7.6,7.3991999999999845
tt0247586,Nine Queens,7.9,7.342399999999999
tt2122313,The Circle,5.8,4.519200000000002
tt0307076,Lovers & Leavers,5.6,6.388399999999995
tt0479937,The Kautokeino Rebellion,6.8,6.3566000000000065
tt0384537,Silent Hill,6.5,6.401600000000008
tt0199650,Jill Rips,4.0,4.2498000000000005
tt2006810,Papadopoulos & Sons,5.9,5.928600000000019
tt8584722,The Rest of Us,6.3,5.758000000000001
tt0309872,Whatever You Say,6.1,6.641200000000011
tt1422136,A Lonely Place to Die,6.2,5.606800000000004
tt1109477,The Human Contract,5.0,7.022399999999967
tt3810602,Only One,3.4,3.8160000000000003
tt6690234,Sonsuz Ask,6.1,6.239200000000014
tt5669936,The Recall,4.1,4.1348
tt11032810,Final Set,6.5,6.420600000000014
tt1641624,My Piece of the Pie,5.8,7.0275999999999845
tt5607096,"Juliet, Naked",6.6,7.007199999999997
tt3907790,Si accettano miracoli,4.8,5.069799999999999
tt4924942,The Invisible Guardian,6.4,6.3354000000000035
tt10750020,Pattas,5.6,6.022799999999998
tt26684398,Spy x Family Code: White,7.4,6.792800000000011
tt5607782,The Covenant,3.5,3.0397999999999983
tt0210094,Happy Campers,5.4,5.869600000000019
tt0970933,Film Noir,6.3,6.294800000000011
tt1525366,Grabbers,6.3,5.3687999999999985
tt1461249,Meskada,5.3,5.747400000000006
tt2760634,A Chance Encounter,6.2,6.228599999999992
tt8110652,Bodies Bodies Bodies,6.2,5.791600000000006
tt10618286,Mank,6.8,6.943599999999992
tt0215135,Route 666,4.4,4.248400000000013
tt13379908,Sridevi Soda Center,6.2,6.550399999999994
tt3147312,Desierto,6.1,6.566399999999981
tt14444726,Tár,7.4,7.432199999999991
tt20258974,Life,7.3,7.018200000000003
tt1934234,Diaz - Don't Clean Up This Blood,7.3,6.446999999999995
tt6330246,School of Life,6.9,6.670400000000003
tt0475998,The Pirates Who Don't Do Anything,5.6,5.781600000000004
tt0200720,The House of Mirth,7.0,6.806399999999984
tt11809034,Rurouni Kenshin: Final Chapter Part I - The Final,7.2,7.04220000000002
tt5115546,Ghost Team,4.8,4.671199999999993
tt18363072,The Royal Hotel,5.8,4.827399999999994
tt0441048,Dhoom 2,6.5,6.0538000000000025
tt2114440,Musallat 2: Lanet,4.9,5.009399999999998
tt0379240,Dead Fish,5.3,5.026399999999997
tt6155172,Roma,7.7,8.058800000000002
tt9217296,Donny's Bar Mitzvah,5.6,5.484999999999976
tt0809535,Sway,7.1,6.072199999999999
tt5804314,Let There Be Light,4.5,5.9664
tt10009030,Snatchers,5.8,5.6336000000000075
tt13269536,Girl in the Basement,6.3,5.588999999999989
tt6450804,Terminator: Dark Fate,6.2,6.570999999999995
tt1024733,$5 a Day,6.3,5.9461999999999975
tt14921570,Taurus,4.6,4.9462
tt2176013,Jab Tak Hai Jaan,6.7,6.418
tt0890870,Saw IV,5.9,5.981399999999999
tt1564369,Scavengers,2.8,3.8284000000000007
tt1467061,Dusk,6.3,6.2748
tt7149336,The Unicorn,5.2,5.6652000000000005
tt0909388,Ganes,6.2,6.1737999999999955
tt8110004,PVT Chat,5.9,5.950000000000005
tt0296845,Little Secrets,6.4,6.216200000000036
tt13069986,After We Fell,4.8,5.211999999999992
tt3215826,Kids in Love,5.2,6.030399999999994
tt1231586,A Good Old Fashioned Orgy,6.1,5.722200000000007
tt6418918,Little Woods,6.2,5.756400000000003
tt1691323,Attenberg,6.2,6.075399999999996
tt4479380,SAS: Red Notice,5.3,5.0741999999999985
tt1976558,Hut in the Woods,6.9,6.000200000000006
tt0369226,Alone in the Dark,2.4,3.3784000000000005
tt5458088,Kammatti Paadam,8.0,7.4619999999999935
tt0390450,Blessed,4.2,5.335599999999997
tt0206917,The Man Who Cried,6.1,6.190600000000006
tt6384386,Fanney Khan,4.5,5.925799999999988
tt1779076,The Jeffrey Dahmer Files,6.3,6.41480000000001
tt8657468,Stargate Origins: Catherine,4.2,4.427400000000002
tt0280477,Better Luck Tomorrow,7.0,6.372800000000008
tt1588334,"Jeff, Who Lives at Home",6.4,6.279399999999998
tt3569326,Hollidaysburg,5.8,5.0783999999999985
tt8694228,Mikhael,5.0,5.815800000000002
tt7178640,Superintelligence,5.4,5.666400000000001
tt1415290,Son of Babylon,7.2,6.265599999999988
tt3027644,Flock of Dudes,5.2,5.0566000000000075
tt3698558,Some Kind of Hate,4.6,5.132999999999999
tt3894188,"Christmas, Again",6.6,5.592400000000009
tt6189344,Tutto quello che vuoi,7.0,6.693400000000008
tt3201640,Extinction,5.8,5.9622
tt0476848,Ramji Londonwaley,6.6,6.955199999999999
tt12444424,Gagarine,6.7,6.532999999999976
tt0258761,Last Resort,7.2,6.6718
tt1444252,Terror Trap,3.7,3.7156000000000047
tt0249462,Billy Elliot,7.7,7.096199999999999
tt1560139,Boy,7.5,7.669200000000004
tt0393597,Earth,7.9,5.453600000000008
tt6495056,Migration,6.7,6.8954
tt0265752,Wolf Girl,5.9,5.581999999999998
tt2268732,Museum Hours,6.9,6.900400000000028
tt8997712,Broil,4.6,4.538599999999989
tt0843326,Bommarillu,8.2,7.23719999999998
tt4679210,Premam,8.3,7.301599999999984
tt8002382,The Marsh King's Daughter,5.9,6.041199999999991
tt2486678,5 to 7,7.1,6.390400000000014
tt3793788,The Escort,6.0,5.885999999999997
tt0327409,Alien Hunter,5.1,5.4363999999999955
tt0839938,Out of the Blue,7.1,7.084599999999963
tt0426501,Johnny Was,5.5,5.395799999999995
tt3827540,Invasion Planet Earth,3.0,3.7060000000000004
tt1459026,The Ape,5.9,5.924199999999994
tt0807956,Occupation 101,8.2,8.218399999999942
tt9352926,The Sound of Silence,5.7,5.614599999999997
tt6566768,Native Son,5.7,5.799199999999999
tt0808399,"New York, I Love You",6.2,6.1949999999999905
tt6680730,Street Lights,6.0,5.540199999999995
tt2187884,Escape from Tomorrow,5.1,5.076800000000004
tt5978724,My Days of Mercy,6.5,6.524200000000015
tt0303816,Cabin Fever,5.6,5.656200000000002
tt8343642,Janelle Monáe: Dirty Computer,7.5,7.050399999999994
tt2473682,Paranormal Activity: The Marked Ones,5.0,5.032199999999997
tt1801552,Gotti,4.8,6.219199999999997
tt3499424,Hercules Reborn,3.0,3.448800000000005
tt8114980,Willy's Wonderland,5.5,5.30080000000001
tt7890550,Astronaut,6.0,5.985800000000003
tt3513500,Chip 'n Dale: Rescue Rangers,7.0,6.419999999999985
tt5352846,Drone,5.4,5.147999999999997
tt1808045,Czarny czwartek. Janek Wisniewski padl,6.6,6.575399999999984
tt3816458,Dead Rising: Watchtower,5.2,5.000999999999985
tt3171832,iBoy,5.9,5.782599999999997
tt3774092,Amnesia,6.1,5.848200000000006
tt3138344,Baked in Brooklyn,5.4,5.739199999999993
tt3111486,American Beach House,2.6,5.2479999999999745
tt8726098,Too Late to Die Young,6.4,6.4084000000000145
tt7754540,Odavum Mudiyadhu Oliyavum Mudiyadhu,3.7,3.810800000000001
tt0279781,Sorority Boys,5.4,5.679799999999981
tt8523334,City Hunter,6.5,6.260399999999999
tt0368909,Ong-Bak: The Thai Warrior,7.1,6.589999999999994
tt2871010,Sonali Cable,5.3,5.321999999999993
tt4559006,Ae Dil Hai Mushkil,5.8,7.180600000000006
tt8206708,Carry On Jatta 2,6.8,6.246399999999992
tt2802144,Kingsman: The Secret Service,7.7,7.483799999999986
tt0290326,Tum Bin...: Love Will Find a Way,7.5,6.9054000000000055
tt7967412,Eye for an Eye,6.6,6.328200000000004
tt12412888,Sonic the Hedgehog 2,6.5,6.325399999999997
tt0780606,Shock to the System,6.6,5.184800000000004
tt1528313,Nothing to Declare,6.4,6.335600000000012
tt5051356,The High Frontier,5.6,5.405999999999994
tt8664050,Tomorrow's a New Day,6.6,5.875399999999993
tt4052882,The Shallows,6.3,5.597999999999999
tt1206488,The Milk of Sorrow,6.7,6.507400000000011
tt10915060,The Crimes That Bind,6.7,6.442800000000008
tt0486651,Dark Mirror,4.7,4.455800000000005
tt1551630,Pawn,5.7,5.471400000000004
tt13101714,All Eyes,5.4,5.042800000000005
tt1097643,Fifty Dead Men Walking,6.8,6.559399999999986
tt2256677,The Renovation,6.0,4.928400000000001
tt1723811,Shame,7.2,7.3189999999999955
tt0419198,The Tiger and the Snow,7.0,7.010200000000011
tt0424938,Karla,5.4,5.208399999999992
tt0218533,Pukar,6.7,6.592600000000003
tt2872518,The Shack,6.3,6.322200000000006
tt4531694,Pattaya,4.8,5.274199999999999
tt1094241,Bride Flight,7.0,6.619399999999996
tt2013293,The Wind Rises,7.8,7.990799999999981
tt2719094,Papusza,7.4,7.116200000000025
tt6229786,Roza of Smyrna,6.6,6.460999999999969
tt2896036,Living Is Easy with Eyes Closed,7.0,6.540399999999996
tt15151020,One by Two,8.6,7.095799999999994
tt6497898,In Syria,7.1,7.123799999999958
tt26315142,Totem,7.1,6.966400000000007
tt0298408,Laurel Canyon,6.4,6.722399999999989
tt1226681,Pontypool,6.5,6.200199999999996
tt1706620,Snowpiercer,7.1,6.837400000000012
tt1555093,The Seasoning House,6.1,5.80839999999998
tt1034385,Cold Skin,6.0,5.623599999999989
tt5884796,Plane,6.5,6.008599999999993
tt1726252,The Dark Side of the Moon,6.2,5.946600000000002
tt5255284,Pirko,5.9,5.8606000000000344
tt3917316,Barcelona Christmas Night,6.4,5.7846
tt13975458,Cube,4.4,5.036599999999997
tt15048606,Lost,5.8,6.510800000000012
tt13923216,Showing Up,6.3,6.761599999999996
tt5364920,Master Piece,6.2,5.0682000000000045
tt5668770,Mardaani 2,7.3,6.5381999999999865
tt0345950,The SpongeBob SquarePants Movie,7.2,6.068799999999992
tt7278824,The First King,6.5,5.931800000000003
tt9354842,To All the Boys: P.S. I Still Love You,6.1,6.422000000000001
tt6620324,Indu Sarkar,6.0,6.462200000000002
tt14986012,12th Man,6.9,6.652999999999997
tt5164438,The Starling,6.4,6.4216
tt1907731,Nobody Walks,5.3,6.413599999999986
tt8001346,Asterix: The Secret of the Magic Potion,6.7,6.170399999999996
tt2179239,The Last Showing,5.1,4.946799999999979
tt11188560,A Taste of Hunger,6.3,7.019199999999999
tt1600207,The Eye of the Storm,6.0,6.1059999999999945
tt11525022,Dance of the 41,6.8,6.594399999999993
tt5266218,Bengal Tiger,5.3,4.789400000000006
tt0834102,Shadows,6.7,6.878399999999986
tt1781866,Muita Calma Nessa Hora,5.3,3.779799999999991
tt13834788,Yuni,7.4,6.798200000000011
tt5592878,Errementari,6.3,5.614999999999995
tt10816484,18 Presents,6.9,5.637400000000006
tt2131698,Zaytoun,6.6,6.179599999999987
tt28366647,Freestyle,4.8,5.631199999999993
tt4191702,Norman,6.1,5.291800000000003
tt1194620,Silent Wedding,7.8,7.022999999999998
tt6213284,I Am Not a Witch,6.9,6.876000000000005
tt4139124,Keanu,6.2,6.236400000000006
tt10413566,Tolo Tolo,5.7,6.2033999999999825
tt0449228,Dosti: Friends Forever,5.3,5.299000000000001
tt1598642,Z for Zachariah,6.0,5.670999999999989
tt0402294,Iznogoud- Caliph Instead of the Caliph,3.8,4.971200000000006
tt1794886,Nobel's Last Will,5.9,5.252599999999996
tt7245176,Paradox,6.5,4.9481999999999955
tt2178256,The Rocket,7.3,7.188999999999986
tt1424431,Tsar,6.8,4.790800000000006
tt1817191,Another Woman's Life,6.3,5.418600000000006
tt12899858,Classmates Minus,7.1,7.02800000000002
tt0417433,Annapolis,5.8,5.9705999999999975
tt27330026,Dhak Dhak,6.3,6.494599999999991
tt7691572,Cyborgs: Heroes Never Die,7.5,7.174200000000009
tt0800361,S&man,5.6,4.4284
tt6405208,Mufti,7.8,7.174200000000016
tt6705612,Manje Bistre,6.5,6.361199999999996
tt1766094,So Undercover,5.0,6.373000000000001
tt5033998,Charlie's Angels,5.0,6.150199999999992
tt15477042,Waitress: The Musical,7.9,6.3551999999999955
tt2301592,The Dance of Reality,7.5,7.264199999999999
tt1194661,Ikigami,7.0,6.750400000000005
tt8239806,The White Storm 2: Drug Lords,6.0,6.1442000000000085
tt27590147,Only the River Flows,6.7,6.704799999999973
tt20330434,The Crime Is Mine,6.5,6.618
tt1858481,Last Passenger,5.7,5.349999999999994
tt1571565,Clash,5.9,5.225799999999991
tt0222024,Hum Tumhare Hain Sanam,5.4,5.218399999999997
tt10515086,The Blue Elephant 2,8.0,6.750399999999998
tt0462338,The Hoax,6.7,6.857199999999992
tt0407998,The Mistress of Spices,5.5,6.592599999999995
tt2570738,White Reindeer,5.7,6.109799999999999
tt11177804,Jiang Ziya,6.5,6.114799999999994
tt0963194,Repo! The Genetic Opera,6.4,5.741600000000007
tt1091617,Expelled: No Intelligence Allowed,3.7,5.4292
tt0419280,Premonition,6.2,5.14939999999999
tt2114504,Woody Woodpecker,4.2,4.77080000000001
tt10131024,Shut In,5.8,5.576800000000006
tt4914580,The Age of Shadows,7.1,6.895600000000003
tt0335245,The Ladykillers,6.2,5.9398000000000035
tt4159182,The Lady in the Car with Glasses and a Gun,5.5,5.973199999999998
tt1183252,Chocolate,6.9,6.615599999999996
tt8671462,Invoking 5,3.2,3.4878000000000013
tt3008014,The Face Reader,6.8,6.242399999999989
tt1074638,Skyfall,7.8,7.075600000000006
tt0356634,Garfield: The Movie,5.0,5.531999999999992
tt1440379,Virginia,5.4,6.853999999999997
tt1198156,You're Not You,7.3,6.835000000000004
tt0278259,.com for Murder,2.6,4.36420000000001
tt1841542,Children's Party,7.5,7.003799999999989
tt2057931,The Foster Boy,7.4,7.290000000000039
tt13032716,Dancing Queens,5.8,5.536399999999995
tt4081630,The Valet,6.7,6.620999999999992
tt12274228,Rent-A-Pal,6.3,5.384399999999995
tt1135092,The Limits of Control,6.2,6.778799999999997
tt0780504,Drive,7.8,7.410400000000006
tt3709442,Quarries,4.5,4.1162
tt5462464,My Foolish Heart,5.9,6.0414
tt1852904,Overheard 2,6.7,6.9023999999999885
tt0405149,Mom's Guest,7.1,5.877799999999996
tt0388130,Initial D: Third Stage,7.7,6.708599999999997
tt18180926,The New Boy,5.7,6.0880000000000125
tt1060249,The Legend of Drona,2.0,3.7604000000000073
tt1813327,The Salt of Life,6.3,5.364999999999995
tt4047846,Home,7.1,7.109399999999961
tt1401152,Unknown,6.8,6.467999999999997
tt5251328,One Piece Film: Gold,7.1,6.309200000000003
tt13821562,Ninjababy,7.2,7.05199999999998
tt0432264,Introducing the Dwights,6.4,6.555000000000005
tt2481554,Murder of a Cat,5.3,5.749199999999994
tt11111286,Reboot Camp,4.5,4.648399999999999
tt2359381,Days and Nights,4.6,6.233600000000011
tt0470869,Neal 'n' Nikki,3.2,6.170000000000002
tt0488604,The Oxford Murders,6.1,6.315200000000006
tt1670627,Hello! How Are You?,7.3,5.858400000000001
tt0446687,Driving Lessons,6.6,6.798800000000005
tt1830643,Death of Me,4.4,5.15200000000001
tt0410454,The Work and the Glory,6.5,6.400400000000002
tt2353767,"1,000 Times Good Night",7.0,6.932999999999992
tt10981012,Veerame Vaagai Soodum,6.3,5.935400000000005
tt0417658,Factotum,6.6,5.930399999999987
tt1656170,Bringing Up Bobby,5.1,5.6836
tt3347976,Dügün Dernek,6.9,6.0390000000000015
tt4047112,Jeeva,7.6,6.8433999999999875
tt15096796,Monster Family 2,4.9,5.681999999999997
tt15302222,Bholaa,5.8,6.307200000000005
tt6463320,Zana,7.3,7.092400000000015
tt1464606,You're So Cupid!,5.2,5.024199999999998
tt0492619,The Foot Fist Way,6.2,6.030599999999994
tt2297063,Whitewash,5.8,5.692600000000012
tt1806975,Never Open the Door,5.2,4.1700000000000035
tt18272884,Padre Pio,4.6,4.965000000000001
tt2371486,A Company Man,6.6,6.554199999999984
tt1334328,With Heart & Soul,7.1,6.250599999999991
tt8759834,Selah and the Spades,5.1,5.825800000000008
tt3685622,600 Miles,5.5,6.063199999999999
tt1003052,Secret Defense,6.3,5.524200000000001
tt8917170,Rose Plays Julie,6.5,6.429799999999999
tt18938680,Broken Wings,5.6,5.825200000000006
tt4857886,Do Lafzon Ki Kahani,6.5,6.567999999999999
tt10955578,Action,4.6,5.601799999999999
tt10126434,Scare Me,5.7,5.549000000000015
tt4857264,The Invisible Guest,8.0,7.413599999999997
tt0497986,Time,7.1,7.179200000000004
tt6466464,The Monkey King 3,5.5,5.976800000000005
tt2088893,Shell,6.4,6.335600000000033
tt8201170,The Perfect Date,5.8,5.290400000000004
tt1945044,Exeter,4.5,5.3203999999999985
tt0279977,The Navigators,7.0,6.713599999999992
tt2070776,Populaire,6.8,6.672599999999989
tt1347007,Hidden,5.6,5.349599999999992
tt14565414,Fish and Puddle,2.6,2.85859999999999
tt5836316,The Last Movie Star,7.0,6.389800000000036
tt0212879,Citizen Toxie: The Toxic Avenger IV,5.9,5.502599999999998
tt8908002,Luka Chuppi,6.4,6.7721999999999785
tt0317132,Because of Winn-Dixie,6.4,6.410599999999999
tt0343221,Mother of Mine,7.6,7.3156000000000025
tt21361340,Month of Madhu,6.8,6.737200000000027
tt5815492,1945,7.1,7.146400000000006
tt7296862,SPF-18,3.3,5.452400000000005
tt1242543,Jungle Child,7.1,6.01179999999999
tt0195714,Final Destination,6.7,6.251999999999984
tt10789216,Diary of a Spy,4.9,4.743200000000006
tt9120416,Alice,6.5,6.465400000000005
